tag	DUMB42
seq_0	0.63936
seq_1	0.72246
seq_2	0.37186
seq_3	0.86286
seq_4	0.91470
seq_5	0.18497
seq_6	0.37888
seq_7	0.46689
seq_8	0.78946
seq_9	0.56246
seq_10	0.89787
seq_11	0.39437
seq_12	0.91273
seq_13	0.77893
seq_14	0.81666
seq_15	0.39424
seq_16	0.62177
seq_17	0.75264
seq_18	0.71932
seq_19	0.94482
seq_20	0.62501
seq_21	0.07424
seq_22	0.17067
seq_23	0.12338
seq_24	0.02964
seq_25	0.98620
seq_26	0.08065
seq_27	0.78537
seq_28	0.21200
seq_29	0.25212
seq_30	0.56721
seq_31	0.02825
seq_32	0.38929
seq_33	0.78844
seq_34	0.39541
seq_35	0.79720
seq_36	0.31824
seq_37	0.50460
seq_38	0.78698
seq_39	0.66676
seq_40	0.53584
seq_41	0.35188
seq_42	0.47356
seq_43	0.47383
seq_44	0.15467
seq_45	0.18209
seq_46	0.63583
seq_47	0.95226
seq_48	0.99989
seq_49	0.22164
seq_50	0.25867
seq_51	0.67834
seq_52	0.91604
seq_53	0.51500
seq_54	0.45980
seq_55	0.72799
seq_56	0.77662
seq_57	0.12625
seq_58	0.06723
seq_59	0.01966
seq_60	0.62332
seq_61	0.23507
seq_62	0.16068
seq_63	0.39902
seq_64	0.05418
seq_65	0.11184
seq_66	0.31248
seq_67	0.77543
seq_68	0.93815
seq_69	0.40684
seq_70	0.09508
seq_71	0.90485
seq_72	0.68216
seq_73	0.31100
seq_74	0.42942
seq_75	0.38802
seq_76	0.50591
seq_77	0.49443
seq_78	0.56423
seq_79	0.14627
seq_80	0.34319
seq_81	0.23513
seq_82	0.96492
seq_83	0.79901
seq_84	0.19856
seq_85	0.64762
seq_86	0.63960
seq_87	0.11820
seq_88	0.40277
seq_89	0.06391
seq_90	0.62001
seq_91	0.03880
seq_92	0.20117
seq_93	0.70430
seq_94	0.64649
seq_95	0.38462
seq_96	0.84638
seq_97	0.07905
seq_98	0.55600
seq_99	0.30747
seq_100	0.21205
seq_101	0.17669
seq_102	0.23632
seq_103	0.29937
seq_104	0.18664
seq_105	0.66553
seq_106	0.50274
seq_107	0.28096
seq_108	0.43210
seq_109	0.56244
seq_110	0.99190
seq_111	0.48940
seq_112	0.87545
seq_113	0.10522
seq_114	0.12867
seq_115	0.60856
seq_116	0.37159
seq_117	0.24106
seq_118	0.50383
seq_119	0.55136
seq_120	0.95366
seq_121	0.70859
seq_122	0.58123
seq_123	0.62438
seq_124	0.57285
seq_125	0.90073
seq_126	0.64207
seq_127	0.64456
seq_128	0.96210
seq_129	0.40069
seq_130	0.33751
seq_131	0.75367
seq_132	0.60718
seq_133	0.29302
seq_134	0.65400
seq_135	0.10014
seq_136	0.54191
seq_137	0.60260
seq_138	0.40630
seq_139	0.40625
seq_140	0.73580
seq_141	0.07719
seq_142	0.51228
seq_143	0.69612
seq_144	0.99463
seq_145	0.23493
seq_146	0.31057
seq_147	0.87348
seq_148	0.05277
seq_149	0.08226
seq_150	0.77644
seq_151	0.02220
seq_152	0.60718
seq_153	0.81504
seq_154	0.59913
seq_155	0.08889
seq_156	0.62098
seq_157	0.07391
seq_158	0.10742
seq_159	0.45578
seq_160	0.62269
seq_161	0.90566
seq_162	0.07485
seq_163	0.38997
seq_164	0.45369
seq_165	0.28315
seq_166	0.07965
seq_167	0.16568
seq_168	0.30687
seq_169	0.08986
seq_170	0.40790
