tag	dumb_foreign	dumb_shades
seq_0	0.61635	0.66447
seq_1	0.95840	0.32246
seq_2	0.54717	0.50206
seq_3	0.89953	0.21110
seq_4	0.04241	0.28971
seq_5	0.72039	0.73404
seq_6	0.44301	0.44485
seq_7	0.61143	0.64554
seq_8	0.87599	0.29302
seq_9	0.08011	0.26476
seq_10	0.99706	0.35459
seq_11	0.54061	0.43391
seq_12	0.10860	0.82311
seq_13	0.22462	0.34905
seq_14	0.37166	0.10343
seq_15	0.92143	0.06540
seq_16	0.55443	0.38898
seq_17	0.59680	0.78006
seq_18	0.56019	0.54380
seq_19	0.14210	0.11185
seq_20	0.93187	0.69646
seq_21	0.47423	0.18649
seq_22	0.55579	0.53851
seq_23	0.52106	0.16966
seq_24	0.34129	0.84702
seq_25	0.44090	0.74820
seq_26	0.06371	0.24619
seq_27	0.37724	0.58756
seq_28	0.65768	0.35171
seq_29	0.71278	0.05594
seq_30	0.34462	0.99741
seq_31	0.00752	0.40036
seq_32	0.72157	0.75889
seq_33	0.48561	0.06282
seq_34	0.60122	0.70563
seq_35	0.48962	0.34354
seq_36	0.15451	0.48174
seq_37	0.61572	0.23347
seq_38	0.20223	0.55515
seq_39	0.10166	0.16764
seq_40	0.10283	0.79037
seq_41	0.23645	0.45524
seq_42	0.83556	0.91341
seq_43	0.53667	0.64113
seq_44	0.53179	0.79928
seq_45	0.85204	0.75160
seq_46	0.83710	0.08956
seq_47	0.94117	0.34361
seq_48	0.62621	0.50021
seq_49	0.85992	0.15627
seq_50	0.75408	0.87298
seq_51	0.72331	0.90370
seq_52	0.55722	0.31717
seq_53	0.04542	0.02974
seq_54	0.21944	0.77287
seq_55	0.53270	0.55740
seq_56	0.88242	0.17414
seq_57	0.76422	0.81015
seq_58	0.44287	0.03603
seq_59	0.87481	0.64252
seq_60	0.46946	0.45777
seq_61	0.12488	0.20352
seq_62	0.29554	0.10294
seq_63	0.41716	0.31974
seq_64	0.04504	0.33351
seq_65	0.78860	0.52180
seq_66	0.92840	0.51445
seq_67	0.77687	0.50408
seq_68	0.40366	0.67144
seq_69	0.28681	0.26354
seq_70	0.87218	0.23225
seq_71	0.36595	0.38404
seq_72	0.17895	0.97528
seq_73	0.73423	0.20772
seq_74	0.44830	0.75751
seq_75	0.97567	0.08363
seq_76	0.39308	0.84596
seq_77	0.51346	0.47400
seq_78	0.05629	0.56622
seq_79	0.69348	0.81673
seq_80	0.20871	0.34127
seq_81	0.15029	0.40453
seq_82	0.13925	0.55422
seq_83	0.48485	0.37207
seq_84	0.58227	0.77641
seq_85	0.02196	0.53408
seq_86	0.65687	0.71102
seq_87	0.31424	0.12485
seq_88	0.51482	0.02564
seq_89	0.42041	0.27249
seq_90	0.71367	0.15110
seq_91	0.06600	0.01632
seq_92	0.36648	0.18130
seq_93	0.45338	0.66812
seq_94	0.61980	0.97033
seq_95	0.31748	0.92367
seq_96	0.08215	0.78679
seq_97	0.70691	0.22666
seq_98	0.81297	0.61955
seq_99	0.42791	0.23492
seq_100	0.89095	0.30586
seq_101	0.70231	0.80331
seq_102	0.64016	0.84339
seq_103	0.97637	0.89718
seq_104	0.80452	0.17902
seq_105	0.51425	0.96636
seq_106	0.95684	0.65712
seq_107	0.38040	0.72287
seq_108	0.27765	0.19807
seq_109	0.94076	0.83325
seq_110	0.34652	0.11763
seq_111	0.90271	0.27123
seq_112	0.37127	0.09513
seq_113	0.21315	0.46425
seq_114	0.18979	0.44897
seq_115	0.68490	0.14523
seq_116	0.20460	0.11693
seq_117	0.66131	0.98283
seq_118	0.39487	0.44755
seq_119	0.82169	0.14973
seq_120	0.79244	0.75476
seq_121	0.71385	0.38930
seq_122	0.72569	0.81543
seq_123	0.12378	0.95208
seq_124	0.31375	0.51314
seq_125	0.57196	0.37824
seq_126	0.63123	0.40825
seq_127	0.38907	0.86175
seq_128	0.67029	0.80070
seq_129	0.50038	0.29768
seq_130	0.00415	0.02839
seq_131	0.10936	0.27897
seq_132	0.86400	0.40993
seq_133	0.96330	0.68964
seq_134	0.11549	0.87192
seq_135	0.38443	0.04942
seq_136	0.12975	0.98418
seq_137	0.38352	0.83348
seq_138	0.22907	0.98420
seq_139	0.38307	0.59510
seq_140	0.43697	0.96852
seq_141	0.15060	0.21663
seq_142	0.36400	0.30208
seq_143	0.13738	0.26532
seq_144	0.40654	0.92446
seq_145	0.53045	0.72715
seq_146	0.08833	0.05110
seq_147	0.19102	0.38497
seq_148	0.12685	0.19298
seq_149	0.82824	0.94064
seq_150	0.14342	0.18068
seq_151	0.23348	0.65649
seq_152	0.57344	0.78575
seq_153	0.83345	0.42905
seq_154	0.56032	0.01163
seq_155	0.74126	0.34906
seq_156	0.58120	0.90448
seq_157	0.75867	0.99605
seq_158	0.37901	0.83207
seq_159	0.25887	0.41461
seq_160	0.23086	0.11614
seq_161	0.20492	0.20870
seq_162	0.03365	0.48519
seq_163	0.60930	0.81832
seq_164	0.49513	0.90450
seq_165	0.05524	0.94045
seq_166	0.77501	0.91843
seq_167	0.32353	0.03234
seq_168	0.84588	0.28384
seq_169	0.97669	0.07303
seq_170	0.41086	0.32987
seq_171	0.33641	0.14109
